intent_confidence_threshold,retrieval_similarity_threshold,precision,recall,f1,escalation_rate
0.15,0.1,0.3925,0.6269,0.4828,0.535
0.15,0.15,0.3925,0.6269,0.4828,0.535
0.15,0.2,0.405,0.7313,0.5213,0.605
0.15,0.25,0.3759,0.791,0.5096,0.705
0.15,0.3,0.3608,0.8507,0.5067,0.79
0.15,0.35,0.3494,0.8657,0.4979,0.83
0.15,0.4,0.3448,0.8955,0.4979,0.87
0.15,0.45,0.3503,0.9254,0.5082,0.885
0.15,0.5,0.3425,0.9254,0.5,0.905
0.15,0.55,0.3424,0.9403,0.502,0.92
0.15,0.6,0.3404,0.9552,0.502,0.94
0.2,0.1,0.3961,0.9104,0.552,0.77
0.2,0.15,0.3961,0.9104,0.552,0.77
0.2,0.2,0.3926,0.9552,0.5565,0.815
0.2,0.25,0.3837,0.9851,0.5523,0.86
0.2,0.3,0.3681,1.0,0.5382,0.91
0.2,0.35,0.3602,1.0,0.5296,0.93
0.2,0.4,0.3564,1.0,0.5255,0.94
0.2,0.45,0.3564,1.0,0.5255,0.94
0.2,0.5,0.349,1.0,0.5174,0.96
0.2,0.55,0.3454,1.0,0.5134,0.97
0.2,0.6,0.3418,1.0,0.5095,0.98
0.25,0.1,0.342,0.9851,0.5077,0.965
0.25,0.15,0.342,0.9851,0.5077,0.965
0.25,0.2,0.342,0.9851,0.5077,0.965
0.25,0.25,0.3385,0.9851,0.5038,0.975
0.25,0.3,0.3401,1.0,0.5076,0.985
0.25,0.35,0.3401,1.0,0.5076,0.985
0.25,0.4,0.3384,1.0,0.5057,0.99
0.25,0.45,0.3384,1.0,0.5057,0.99
0.25,0.5,0.3384,1.0,0.5057,0.99
0.25,0.55,0.3367,1.0,0.5038,0.995
0.25,0.6,0.3367,1.0,0.5038,0.995
0.3,0.1,0.335,1.0,0.5019,1.0
0.3,0.15,0.335,1.0,0.5019,1.0
0.3,0.2,0.335,1.0,0.5019,1.0
0.3,0.25,0.335,1.0,0.5019,1.0
0.3,0.3,0.335,1.0,0.5019,1.0
0.3,0.35,0.335,1.0,0.5019,1.0
